epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.84146,1.75606,3.09341,3.35053,1.21236,0.0525,0.84,0.08479,0.04178,0.04875,0.78,0.08723,0.02688,1.31882,1.80401,3.29492,0.94094,0.00022,0.00022,0.00022
2,4.708,1.41563,1.71607,2.33904,0.96416,0.05708,0.91333,0.09736,0.04925,0.0525,0.84,0.0764,0.02767,1.33643,1.88147,3.24547,0.94897,0.000455446,0.000455446,0.000455446
3,6.55428,1.40835,1.55131,1.47882,0.97498,0.05458,0.87333,0.08006,0.04043,0.05458,0.87333,0.07091,0.02626,1.28494,2.03535,3.15845,0.96744,0.00068614,0.00068614,0.00068614
4,8.45845,1.33017,1.49386,1.14905,0.98209,0.05375,0.86,0.08169,0.0381,0.0525,0.84,0.07872,0.03234,1.43915,1.83859,3.11673,1.03837,0.000912082,0.000912082,0.000912082
5,10.2645,1.33118,1.48591,1.11283,0.97729,0.05333,0.85333,0.10058,0.05785,0.05625,0.9,0.07294,0.03134,1.50449,1.29861,2.85607,0.98076,0.00113327,0.00113327,0.00113327
6,11.9975,1.34973,1.47961,1.02207,0.95949,0.06869,0.88667,0.34425,0.16688,0.07611,0.88667,0.35607,0.11027,1.46219,1.35625,2.57526,0.97972,0.00134971,0.00134971,0.00134971
7,13.787,1.27764,1.5357,0.98222,0.95981,0.72281,0.32667,0.64849,0.32199,0.59214,0.27102,0.4718,0.15361,1.35316,1.33551,2.41597,0.98094,0.0015614,0.0015614,0.0015614
8,15.5425,1.26942,1.47167,0.96212,0.9582,0.79342,0.64011,0.7292,0.36738,0.73659,0.59657,0.64652,0.20971,1.50306,1.32301,2.12981,1.01073,0.00176833,0.00176833,0.00176833
9,17.2944,1.26774,1.39584,0.94128,0.95642,0.77603,0.43889,0.65678,0.32546,0.6367,0.36222,0.52478,0.16696,1.35993,1.22661,2.17629,0.96574,0.0018416,0.0018416,0.0018416
10,19.0201,1.27842,1.38297,0.94973,0.95328,0.81724,0.70667,0.76773,0.43008,0.71071,0.63333,0.63068,0.20621,1.36624,1.41057,1.79746,0.9948,0.0018218,0.0018218,0.0018218
11,20.7739,1.20933,1.35616,0.90489,0.94135,0.72188,0.79333,0.76053,0.41225,0.63695,0.7,0.61309,0.19518,1.28528,1.23508,1.47183,0.93382,0.001802,0.001802,0.001802
12,22.5178,1.20069,1.3628,0.8831,0.93797,0.84789,0.80667,0.83581,0.4985,0.74747,0.78667,0.74415,0.25201,1.21942,1.20055,1.07271,0.94171,0.0017822,0.0017822,0.0017822
13,24.2537,1.21652,1.38045,0.87803,0.94427,0.87252,0.86667,0.86939,0.50642,0.83547,0.81247,0.81783,0.31481,1.19897,1.14158,0.99936,0.93735,0.0017624,0.0017624,0.0017624
14,26.0982,1.14854,1.35752,0.82517,0.92308,0.86438,0.87333,0.88417,0.53208,0.7749,0.81333,0.80596,0.26716,1.20612,1.19677,0.88274,0.94147,0.0017426,0.0017426,0.0017426
15,27.8506,1.15824,1.37033,0.83856,0.93518,0.86959,0.91333,0.92112,0.57462,0.80167,0.84667,0.85252,0.32576,1.18366,1.18471,0.85144,0.93594,0.0017228,0.0017228,0.0017228
16,29.6235,1.16443,1.31966,0.82435,0.92784,0.92335,0.88346,0.93462,0.55452,0.88866,0.85141,0.89702,0.33246,1.24489,1.20546,0.84247,0.94231,0.001703,0.001703,0.001703
17,31.3795,1.17501,1.36041,0.82204,0.93048,0.89927,0.89274,0.91046,0.56471,0.80969,0.82259,0.81182,0.29652,1.16947,1.13053,0.89327,0.91233,0.0016832,0.0016832,0.0016832
18,33.1405,1.16896,1.31038,0.81357,0.93315,0.903,0.84,0.88582,0.56564,0.87995,0.73299,0.78417,0.31052,1.20495,1.33245,0.8486,0.95143,0.0016634,0.0016634,0.0016634
19,34.8861,1.14674,1.30436,0.81224,0.9272,0.87039,0.85061,0.86184,0.50833,0.80821,0.84279,0.81006,0.32294,1.34894,1.14211,0.87821,0.98114,0.0016436,0.0016436,0.0016436
20,36.6399,1.1352,1.26373,0.78637,0.92221,0.87343,0.87333,0.89701,0.58632,0.7805,0.72667,0.73763,0.23342,1.10399,1.30244,0.82798,0.90722,0.0016238,0.0016238,0.0016238
21,38.4171,1.14704,1.31313,0.77681,0.91657,0.87779,0.90667,0.941,0.62805,0.79019,0.80348,0.81971,0.2965,1.13521,1.20752,0.79381,0.91077,0.001604,0.001604,0.001604
22,40.2398,1.12193,1.28051,0.75794,0.91529,0.86433,0.89189,0.91068,0.59113,0.80331,0.86667,0.82523,0.29804,1.18158,1.21298,0.82716,0.93975,0.0015842,0.0015842,0.0015842
23,41.9855,1.11615,1.25879,0.75177,0.92374,0.92876,0.86,0.91367,0.60522,0.85794,0.84552,0.87798,0.34585,1.10128,1.04388,0.8269,0.91476,0.0015644,0.0015644,0.0015644
24,43.7094,1.11577,1.25897,0.75936,0.92761,0.91028,0.87926,0.92498,0.58812,0.89785,0.79333,0.85633,0.32521,1.13038,1.10811,0.79013,0.93038,0.0015446,0.0015446,0.0015446
25,45.4774,1.08224,1.21682,0.74434,0.90959,0.90775,0.89333,0.91059,0.60736,0.849,0.84,0.87467,0.35182,1.11751,1.15825,0.82308,0.92017,0.0015248,0.0015248,0.0015248
26,47.2477,1.09243,1.22633,0.723,0.90711,0.90275,0.88667,0.90626,0.59445,0.83874,0.90154,0.9079,0.36359,1.13819,1.15095,0.81765,0.92048,0.001505,0.001505,0.001505
27,49.026,1.05901,1.19369,0.70221,0.9037,0.91856,0.90234,0.94787,0.61287,0.80109,0.86667,0.84767,0.33575,1.08318,1.05362,0.75194,0.91552,0.0014852,0.0014852,0.0014852
28,50.7831,1.0847,1.25758,0.71205,0.90681,0.95097,0.90507,0.94529,0.62175,0.92049,0.849,0.89959,0.34366,1.11938,1.10705,0.73366,0.92131,0.0014654,0.0014654,0.0014654
29,52.5425,1.07687,1.24832,0.71062,0.90478,0.93069,0.89522,0.92842,0.60701,0.85213,0.84519,0.87013,0.29767,1.16195,1.27332,0.75214,0.92607,0.0014456,0.0014456,0.0014456
30,54.3627,1.05467,1.23254,0.69152,0.8973,0.93714,0.90667,0.9383,0.60886,0.79741,0.81344,0.8235,0.27729,1.0778,1.25751,0.74747,0.91367,0.0014258,0.0014258,0.0014258
31,56.1111,1.05065,1.24361,0.68642,0.89801,0.89267,0.92,0.92082,0.60938,0.85261,0.78,0.85664,0.34204,1.11165,1.12413,0.72759,0.9203,0.001406,0.001406,0.001406
32,57.8522,1.05683,1.24432,0.68994,0.89854,0.87702,0.90667,0.88405,0.59242,0.85108,0.88,0.85889,0.34584,1.11801,1.11384,0.74689,0.91409,0.0013862,0.0013862,0.0013862
33,59.5866,1.02884,1.22648,0.66807,0.89832,0.92914,0.88,0.92237,0.61741,0.81836,0.82,0.84021,0.31534,1.09335,1.17628,0.73948,0.91571,0.0013664,0.0013664,0.0013664
34,61.3418,1.04966,1.20611,0.66283,0.89485,0.94317,0.8852,0.93063,0.61946,0.86807,0.8773,0.89014,0.35299,1.11414,1.07855,0.74281,0.92386,0.0013466,0.0013466,0.0013466
35,63.088,1.03489,1.22985,0.65814,0.89467,0.90747,0.90667,0.92984,0.60472,0.84071,0.88,0.8856,0.32728,1.14857,1.08433,0.71097,0.92779,0.0013268,0.0013268,0.0013268
36,64.8269,1.03931,1.23036,0.65748,0.89509,0.92119,0.89333,0.90965,0.58594,0.88166,0.89401,0.90969,0.36775,1.18743,1.05715,0.70337,0.93615,0.001307,0.001307,0.001307
37,66.6712,1.06413,1.19766,0.65848,0.8955,0.93695,0.89164,0.91966,0.61527,0.8348,0.88667,0.87442,0.34093,1.06491,1.03594,0.71776,0.899,0.0012872,0.0012872,0.0012872
38,68.4123,1.05008,1.19625,0.65692,0.89412,0.92544,0.92,0.92569,0.61865,0.82896,0.87333,0.86745,0.33031,1.07607,1.06166,0.72269,0.90505,0.0012674,0.0012674,0.0012674
39,70.121,1.02936,1.18229,0.6553,0.89171,0.89858,0.9,0.89986,0.55828,0.87765,0.91333,0.90224,0.34873,1.25608,1.21615,0.74119,0.93134,0.0012476,0.0012476,0.0012476
40,71.8786,1.0519,1.17991,0.65841,0.89072,0.91337,0.91381,0.92803,0.6194,0.84662,0.88315,0.86881,0.36246,1.07795,1.06968,0.70507,0.89464,0.0012278,0.0012278,0.0012278
41,73.675,1.03104,1.18558,0.65518,0.89237,0.91767,0.8917,0.90896,0.60131,0.89299,0.91333,0.92237,0.36199,1.17079,1.1242,0.72684,0.92448,0.001208,0.001208,0.001208
42,75.4024,1.00075,1.1656,0.63049,0.88702,0.91241,0.92667,0.95009,0.65325,0.82395,0.84244,0.84063,0.34086,1.02031,1.04879,0.67421,0.88037,0.0011882,0.0011882,0.0011882
43,77.1782,1.00204,1.17076,0.62886,0.88259,0.92771,0.89333,0.90699,0.62809,0.88648,0.86,0.87665,0.35917,1.05776,1.02134,0.68964,0.91046,0.0011684,0.0011684,0.0011684
44,79.0007,1.02361,1.17986,0.64088,0.8926,0.90769,0.91775,0.93742,0.63229,0.85127,0.87333,0.86992,0.34394,1.05527,1.04522,0.66464,0.90691,0.0011486,0.0011486,0.0011486
45,80.7372,0.96953,1.14021,0.62094,0.88129,0.92767,0.89333,0.92711,0.64464,0.88571,0.82665,0.87475,0.35313,1.02975,1.03522,0.71871,0.89579,0.0011288,0.0011288,0.0011288
46,82.4819,0.99596,1.14111,0.61795,0.88485,0.91128,0.8902,0.91328,0.61506,0.85326,0.86667,0.87462,0.35653,1.0483,1.10874,0.75558,0.89117,0.001109,0.001109,0.001109
47,84.2303,0.9797,1.16225,0.6288,0.88478,0.93839,0.91395,0.93913,0.63363,0.88017,0.85333,0.86935,0.3461,1.04631,1.00226,0.67166,0.90342,0.0010892,0.0010892,0.0010892
48,85.9394,0.98912,1.11523,0.62152,0.88382,0.93561,0.9,0.94242,0.6364,0.83525,0.81117,0.85801,0.34622,1.06452,1.01306,0.65788,0.90409,0.0010694,0.0010694,0.0010694
49,87.678,0.99064,1.14922,0.61041,0.87899,0.92397,0.89124,0.93542,0.63512,0.92283,0.83333,0.91132,0.36731,1.07625,1.013,0.6804,0.90787,0.0010496,0.0010496,0.0010496
50,89.4611,0.96924,1.13718,0.6202,0.88006,0.90511,0.89031,0.92969,0.62769,0.90116,0.82667,0.90322,0.35706,1.05319,1.01574,0.69034,0.90136,0.0010298,0.0010298,0.0010298
51,91.247,0.96725,1.13697,0.60899,0.88417,0.94459,0.90916,0.94454,0.64222,0.8954,0.86,0.89183,0.35423,1.04426,1.02197,0.66509,0.90183,0.00101,0.00101,0.00101
52,93.0156,0.97709,1.12401,0.60171,0.87249,0.90166,0.93333,0.93129,0.63115,0.8962,0.9,0.90647,0.37254,1.06482,1.07142,0.67211,0.89831,0.0009902,0.0009902,0.0009902
53,94.7557,0.97356,1.12899,0.60541,0.87587,0.91129,0.9,0.91455,0.60815,0.89258,0.88636,0.89661,0.37465,1.10598,1.03817,0.68728,0.91035,0.0009704,0.0009704,0.0009704
54,96.4538,0.96053,1.13738,0.60984,0.88532,0.92345,0.90667,0.93846,0.66424,0.88867,0.85142,0.90332,0.34812,1.00379,1.02478,0.63599,0.90215,0.0009506,0.0009506,0.0009506
55,98.2108,0.92484,1.10221,0.58178,0.87404,0.92386,0.88986,0.9278,0.64844,0.85245,0.88584,0.87966,0.33532,1.05571,1.13005,0.63913,0.90536,0.0009308,0.0009308,0.0009308
56,99.9667,0.93375,1.12392,0.57851,0.87169,0.95517,0.91333,0.95385,0.64586,0.82023,0.88215,0.88237,0.34273,1.04381,1.0683,0.63179,0.91306,0.000911,0.000911,0.000911
57,101.712,0.94116,1.12725,0.58122,0.87146,0.89492,0.90843,0.9263,0.64276,0.88182,0.89544,0.90691,0.34943,1.0483,1.06351,0.65997,0.9051,0.0008912,0.0008912,0.0008912
