epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,353.472,1.28153,1.65934,0.63333,0.93843,0.83014,0.78281,0.83909,0.45211,0.61297,0.58337,0.56187,0.20154,1.38776,1.84129,0.66413,0.94076,0.000891125,0.000891125,0.000891125
31,365.125,1.26101,1.67062,0.62314,0.93208,0.77681,0.82223,0.82162,0.44459,0.59946,0.63864,0.58068,0.21788,1.40291,1.81025,0.66833,0.94372,0.00087875,0.00087875,0.00087875
32,376.85,1.26661,1.6399,0.63326,0.93246,0.84074,0.78996,0.83966,0.44114,0.61979,0.58578,0.57959,0.20283,1.40246,1.8398,0.66696,0.93987,0.000866375,0.000866375,0.000866375
33,388.534,1.28875,1.67102,0.64523,0.94966,0.8084,0.75735,0.8286,0.40881,0.54816,0.46509,0.46251,0.15235,1.48628,2.09831,0.69229,0.95466,0.000854,0.000854,0.000854
34,400.097,1.27958,1.63389,0.63267,0.93315,0.85558,0.78996,0.85448,0.45553,0.64804,0.59449,0.56906,0.19745,1.38047,1.95292,0.66991,0.94306,0.000841625,0.000841625,0.000841625
35,411.565,1.32224,1.70863,0.64502,0.95507,0.79969,0.77495,0.84458,0.451,0.61438,0.61596,0.60714,0.21692,1.39601,1.83816,0.65452,0.94095,0.00082925,0.00082925,0.00082925
36,423.102,1.2972,1.66054,0.63277,0.93846,0.80636,0.80726,0.85388,0.42706,0.58272,0.58041,0.56444,0.19292,1.452,2.13795,0.67893,0.94306,0.000816875,0.000816875,0.000816875
37,434.613,1.25365,1.63205,0.61042,0.92352,0.8505,0.80871,0.88031,0.46454,0.61971,0.58369,0.56189,0.19863,1.39069,1.9099,0.64529,0.94033,0.0008045,0.0008045,0.0008045
38,446.735,1.23901,1.60784,0.60435,0.91881,0.84671,0.8088,0.87559,0.47353,0.63138,0.61719,0.61444,0.23347,1.3472,1.86446,0.64098,0.92604,0.000792125,0.000792125,0.000792125
39,458.991,1.22237,1.58844,0.60318,0.9226,0.77817,0.80361,0.83636,0.4357,0.5788,0.58889,0.54977,0.19892,1.43618,1.91986,0.65089,0.94064,0.00077975,0.00077975,0.00077975
40,470.686,1.21201,1.58132,0.6016,0.92269,0.84905,0.81164,0.8682,0.46675,0.61961,0.57557,0.56622,0.19642,1.36821,1.84453,0.64569,0.93531,0.000767375,0.000767375,0.000767375
41,482.37,1.22303,1.58586,0.60329,0.92434,0.8481,0.83508,0.88653,0.48577,0.63176,0.61561,0.57802,0.2131,1.35674,1.86123,0.63592,0.93473,0.000755,0.000755,0.000755
42,494.06,1.23529,1.60207,0.61071,0.923,0.83157,0.80562,0.86122,0.46528,0.61611,0.59378,0.57014,0.19727,1.3704,1.86212,0.65162,0.93,0.000742625,0.000742625,0.000742625
43,505.717,1.20522,1.59347,0.59573,0.91974,0.82695,0.8216,0.88133,0.4783,0.66861,0.6465,0.63196,0.23652,1.35118,1.78917,0.62046,0.9305,0.00073025,0.00073025,0.00073025
44,517.525,1.20991,1.58692,0.59884,0.91391,0.83514,0.81506,0.87376,0.46859,0.61938,0.6194,0.6028,0.20464,1.37329,1.89711,0.63735,0.93104,0.000717875,0.000717875,0.000717875
45,529.125,1.19149,1.54535,0.59122,0.90808,0.86493,0.75642,0.86116,0.47886,0.63317,0.57741,0.59087,0.21402,1.37924,2.02363,0.64783,0.93638,0.0007055,0.0007055,0.0007055
46,540.794,1.20564,1.55463,0.59422,0.91071,0.86329,0.83145,0.89124,0.4945,0.6832,0.64134,0.64778,0.24679,1.31952,1.76973,0.61926,0.93373,0.000693125,0.000693125,0.000693125
47,552.626,1.15829,1.50468,0.57529,0.90881,0.82275,0.83123,0.8733,0.48757,0.61564,0.60698,0.59456,0.22586,1.34485,1.883,0.62258,0.92871,0.00068075,0.00068075,0.00068075
48,564.889,1.16064,1.54643,0.57895,0.9114,0.82173,0.86321,0.89706,0.49226,0.61813,0.65573,0.64245,0.23526,1.33358,1.79303,0.61836,0.92396,0.000668375,0.000668375,0.000668375
49,576.545,1.1507,1.5569,0.57465,0.90783,0.86241,0.83774,0.90305,0.4884,0.64005,0.6319,0.63752,0.24896,1.36784,1.82207,0.63654,0.93783,0.000656,0.000656,0.000656
50,588.913,1.14955,1.49377,0.56631,0.9066,0.87318,0.76803,0.86604,0.47232,0.59621,0.58665,0.57669,0.21597,1.33772,1.8433,0.61756,0.93658,0.000643625,0.000643625,0.000643625
51,600.566,1.16159,1.54885,0.57061,0.90694,0.84685,0.80805,0.8911,0.4635,0.64018,0.60084,0.60157,0.21858,1.39308,1.95669,0.63001,0.93143,0.00063125,0.00063125,0.00063125
52,612.528,1.19772,1.5571,0.58107,0.90478,0.87096,0.82337,0.90128,0.50161,0.68136,0.61367,0.62961,0.23871,1.2969,1.72946,0.60568,0.92388,0.000618875,0.000618875,0.000618875
53,624.258,1.1385,1.49761,0.56746,0.90727,0.86948,0.83551,0.90504,0.50956,0.66105,0.63219,0.62296,0.22688,1.31054,1.86365,0.61027,0.92373,0.0006065,0.0006065,0.0006065
54,636.065,1.12971,1.47546,0.55751,0.89945,0.86506,0.78208,0.87404,0.5035,0.62702,0.57361,0.59016,0.21461,1.30431,1.8954,0.60834,0.9186,0.000594125,0.000594125,0.000594125
55,647.661,1.1192,1.51084,0.55867,0.90079,0.83483,0.85559,0.88345,0.50265,0.64957,0.64218,0.61693,0.23474,1.30744,1.78412,0.60469,0.92077,0.00058175,0.00058175,0.00058175
56,659.363,1.13955,1.48671,0.55887,0.89977,0.85093,0.84521,0.89627,0.49418,0.65046,0.61043,0.61142,0.22764,1.33073,1.78914,0.60461,0.92251,0.000569375,0.000569375,0.000569375
57,671.102,1.08947,1.42915,0.54478,0.89247,0.91359,0.8058,0.91512,0.51485,0.69051,0.65881,0.66026,0.25823,1.28021,1.64193,0.58902,0.91344,0.000557,0.000557,0.000557
58,682.951,1.10002,1.45455,0.54385,0.89984,0.85992,0.83447,0.89622,0.51371,0.68378,0.62679,0.63693,0.24755,1.31751,1.69003,0.60222,0.91896,0.000544625,0.000544625,0.000544625
59,694.617,1.11669,1.48189,0.55622,0.89574,0.85901,0.84203,0.90585,0.50622,0.68319,0.62381,0.65659,0.24061,1.33672,1.85393,0.61008,0.91765,0.00053225,0.00053225,0.00053225
60,706.331,1.09331,1.44659,0.54408,0.89596,0.89358,0.81013,0.89491,0.51056,0.71484,0.62856,0.64907,0.2488,1.32086,1.77739,0.59878,0.92315,0.000519875,0.000519875,0.000519875
61,718.012,1.11027,1.47195,0.55221,0.89854,0.84406,0.83563,0.88907,0.50659,0.64578,0.64736,0.62494,0.24187,1.30915,1.73446,0.59909,0.92122,0.0005075,0.0005075,0.0005075
62,729.78,1.08138,1.42567,0.54108,0.88932,0.88091,0.78753,0.8827,0.49872,0.66713,0.64939,0.65603,0.2537,1.30975,1.87853,0.60644,0.9225,0.000495125,0.000495125,0.000495125
63,741.457,1.10285,1.4851,0.5493,0.89547,0.87345,0.81427,0.8897,0.51421,0.63375,0.59569,0.616,0.22975,1.30612,1.80838,0.60735,0.92137,0.00048275,0.00048275,0.00048275
64,753.915,1.10127,1.41945,0.54486,0.8875,0.87639,0.87144,0.90653,0.50364,0.7015,0.67936,0.67245,0.26754,1.32692,1.76,0.60472,0.92179,0.000470375,0.000470375,0.000470375
65,765.628,1.10223,1.43195,0.54101,0.8912,0.86507,0.83948,0.90171,0.51449,0.69599,0.61716,0.6333,0.24319,1.30347,1.74418,0.59641,0.91768,0.000458,0.000458,0.000458
66,777.267,1.06549,1.40692,0.53039,0.87825,0.90256,0.81801,0.90293,0.53526,0.71299,0.65792,0.68,0.26576,1.26069,1.67446,0.57836,0.91348,0.000445625,0.000445625,0.000445625
67,788.907,1.04089,1.39862,0.52152,0.88078,0.86214,0.83265,0.88645,0.51965,0.62973,0.6138,0.60669,0.23033,1.29566,1.79159,0.5917,0.91841,0.00043325,0.00043325,0.00043325
68,800.508,1.03028,1.377,0.5173,0.87781,0.8823,0.83707,0.90101,0.5242,0.68195,0.61558,0.6404,0.25559,1.29881,1.75253,0.58472,0.91872,0.000420875,0.000420875,0.000420875
69,811.943,1.05306,1.4113,0.5254,0.88838,0.87462,0.8436,0.9081,0.52995,0.71254,0.6182,0.66558,0.25982,1.28776,1.69753,0.58559,0.91182,0.0004085,0.0004085,0.0004085
70,823.62,1.03671,1.37637,0.51542,0.87578,0.8703,0.83718,0.88938,0.5194,0.63398,0.63345,0.61011,0.23251,1.28242,1.77267,0.58352,0.91497,0.000396125,0.000396125,0.000396125
71,835.242,1.02458,1.38786,0.51664,0.87706,0.87588,0.82288,0.89866,0.5225,0.66665,0.63965,0.65038,0.24921,1.29306,1.74111,0.58526,0.92161,0.00038375,0.00038375,0.00038375
72,846.894,1.0198,1.35963,0.51116,0.87169,0.86483,0.84327,0.90619,0.53255,0.65303,0.64238,0.65018,0.25234,1.27593,1.77594,0.58785,0.90886,0.000371375,0.000371375,0.000371375
73,858.47,1.01896,1.36672,0.50752,0.87026,0.93842,0.78471,0.89883,0.54531,0.68595,0.62898,0.66017,0.25977,1.24958,1.68934,0.58013,0.90955,0.000359,0.000359,0.000359
74,870.258,1.01181,1.35198,0.50847,0.87643,0.89027,0.83775,0.91945,0.5412,0.72476,0.6015,0.65216,0.24785,1.26517,1.77013,0.57701,0.90925,0.000346625,0.000346625,0.000346625
75,881.863,1.00585,1.35549,0.50476,0.87808,0.89521,0.8066,0.91098,0.53795,0.67424,0.60394,0.62634,0.23824,1.26105,1.74943,0.56967,0.91118,0.00033425,0.00033425,0.00033425
76,893.995,0.99638,1.34867,0.50571,0.87591,0.87097,0.84922,0.9043,0.53042,0.62609,0.63158,0.60001,0.23746,1.28308,1.74464,0.57823,0.90915,0.000321875,0.000321875,0.000321875
77,905.673,0.98871,1.34066,0.50611,0.87132,0.9017,0.85155,0.92704,0.5373,0.69083,0.63872,0.65508,0.26023,1.24741,1.65065,0.57484,0.9068,0.0003095,0.0003095,0.0003095
78,917.587,1.00341,1.31398,0.50451,0.8663,0.9139,0.79446,0.91039,0.54582,0.73339,0.61617,0.6554,0.25485,1.25173,1.74932,0.56817,0.90752,0.000297125,0.000297125,0.000297125
79,929.279,1.00555,1.34941,0.50453,0.87347,0.91155,0.81469,0.91684,0.55081,0.72243,0.64275,0.67563,0.26501,1.25642,1.67222,0.57217,0.90968,0.00028475,0.00028475,0.00028475
80,941.107,0.99454,1.32727,0.50356,0.87086,0.87931,0.84976,0.91048,0.551,0.72197,0.65347,0.67594,0.26462,1.24787,1.68312,0.57213,0.90867,0.000272375,0.000272375,0.000272375
81,952.753,0.96479,1.30598,0.49285,0.86153,0.88134,0.86926,0.9239,0.56594,0.70791,0.68999,0.69202,0.27899,1.22762,1.60101,0.5621,0.90847,0.00026,0.00026,0.00026
82,964.516,0.96958,1.2807,0.49093,0.86611,0.90313,0.8504,0.9297,0.55711,0.74738,0.63125,0.68536,0.27645,1.23605,1.66837,0.56142,0.90906,0.000247625,0.000247625,0.000247625
83,976.218,0.95286,1.27197,0.48515,0.86828,0.89244,0.82648,0.9192,0.55836,0.73963,0.63529,0.6843,0.27547,1.23005,1.64577,0.55522,0.90562,0.00023525,0.00023525,0.00023525
84,987.964,0.96792,1.29535,0.49141,0.86341,0.91801,0.80987,0.9139,0.56317,0.71432,0.6265,0.65157,0.26769,1.23649,1.68605,0.55615,0.90601,0.000222875,0.000222875,0.000222875
85,999.709,0.94826,1.27609,0.48314,0.8649,0.8958,0.81531,0.91567,0.54997,0.68914,0.68203,0.68673,0.27007,1.23646,1.68664,0.55387,0.90545,0.0002105,0.0002105,0.0002105
86,1011.87,0.94207,1.26801,0.48079,0.86184,0.86534,0.87094,0.91719,0.55933,0.68916,0.65818,0.67406,0.27309,1.26743,1.8184,0.56325,0.90782,0.000198125,0.000198125,0.000198125
87,1023.61,0.9431,1.29978,0.47942,0.85706,0.90756,0.81967,0.9176,0.55367,0.68621,0.65532,0.66035,0.25829,1.24854,1.73029,0.55565,0.90945,0.00018575,0.00018575,0.00018575
