epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8337,2.32005,3.19438,2.54627,1.35537,0.46326,0.49419,0.47207,0.19624,0.35444,0.42061,0.27378,0.09126,1.81498,2.83516,2.59463,1.07865,0.0003625,0.0003625,0.0003625
2,21.0832,1.81619,2.37324,1.11585,1.07683,0.42938,0.48432,0.40538,0.15253,0.25511,0.39673,0.19417,0.05908,2.05766,3.91279,2.58728,1.14932,0.000730199,0.000730199,0.000730199
3,31.1931,1.80168,2.32629,1.03964,1.07774,0.52008,0.48417,0.50369,0.19395,0.34579,0.36775,0.26987,0.07949,1.90819,3.60335,3.52357,1.10776,0.00109047,0.00109047,0.00109047
4,41.1401,1.75918,2.26966,0.98745,1.04751,0.54482,0.55512,0.52389,0.21012,0.32462,0.34477,0.23731,0.06372,1.94264,4.22993,1.28694,1.11859,0.00121287,0.00121287,0.00121287
5,51.0405,1.79613,2.23197,0.94384,1.0496,0.51677,0.59614,0.54581,0.21654,0.39713,0.43829,0.31383,0.09906,1.94415,3.08324,1.09913,1.09133,0.0012005,0.0012005,0.0012005
6,61.1638,1.68799,2.14663,0.91307,1.03955,0.6489,0.60992,0.61508,0.27102,0.58917,0.51511,0.48667,0.16572,1.8282,2.42127,0.97024,1.05297,0.00118812,0.00118812,0.00118812
7,71.2727,1.64607,2.06389,0.88016,1.022,0.61218,0.63801,0.6282,0.29612,0.44744,0.46504,0.37548,0.12502,1.66232,2.49381,0.95575,1.00831,0.00117575,0.00117575,0.00117575
8,81.2093,1.59507,2.02067,0.83733,1.0117,0.58924,0.58702,0.59837,0.274,0.43783,0.36799,0.31527,0.09554,1.7782,2.79105,1.19064,1.04778,0.00116337,0.00116337,0.00116337
9,91.166,1.62599,2.02386,0.85028,1.0128,0.60364,0.60662,0.63485,0.30373,0.38991,0.43865,0.3569,0.11102,1.65307,2.43008,0.8963,1.0105,0.001151,0.001151,0.001151
10,101.186,1.59063,1.99119,0.84573,1.01316,0.52138,0.65178,0.60101,0.27252,0.38605,0.47299,0.35482,0.11045,1.72045,2.15429,0.90807,0.99923,0.00113863,0.00113863,0.00113863
11,111.11,1.53042,1.93779,0.79964,0.98363,0.66268,0.70486,0.69986,0.31735,0.44478,0.51195,0.40564,0.13985,1.63143,2.42879,0.81359,0.98507,0.00112625,0.00112625,0.00112625
12,121.123,1.50879,1.9102,0.78054,0.98256,0.63233,0.70253,0.69173,0.32337,0.4222,0.44486,0.3856,0.1267,1.64963,2.42598,0.80329,0.98915,0.00111388,0.00111388,0.00111388
13,131.034,1.50193,1.90823,0.77402,0.98399,0.57241,0.72396,0.68561,0.32148,0.41668,0.54332,0.43688,0.15369,1.64861,2.22483,0.80431,0.99525,0.0011015,0.0011015,0.0011015
14,141.182,1.5237,1.90692,0.76752,0.97325,0.61243,0.69589,0.66498,0.3068,0.42037,0.46751,0.3611,0.11936,1.63062,2.46293,0.80297,0.98679,0.00108913,0.00108913,0.00108913
