epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.04288,3.04739,4.44593,4.45549,1.60927,0.00109,0.01149,0.00078,0.00019,0.00139,0.01632,0.00077,0.00013,2.62221,2.96808,4.08644,1.37753,0.0001375,0.0001375,0.0001375
2,5.03952,2.37235,3.05762,3.78295,1.15222,0.00872,0.04495,0.00969,0.00233,0.00885,0.06905,0.01164,0.00251,2.03479,2.7928,3.99732,1.18207,0.000284654,0.000284654,0.000284654
3,6.96552,2.29637,2.9172,3.05957,1.11151,0.00496,0.04791,0.00649,0.00161,0.00551,0.04105,0.00753,0.00212,1.91178,2.63838,3.93572,1.15085,0.000428838,0.000428838,0.000428838
4,8.96388,2.21516,2.79424,2.25313,1.10425,0.02954,0.12236,0.09395,0.03809,0.0248,0.11237,0.06464,0.01872,1.98793,2.74533,3.77655,1.18298,0.000570051,0.000570051,0.000570051
5,10.8492,2.15647,2.67212,1.80508,1.10209,0.03553,0.25271,0.12331,0.05098,0.03016,0.21745,0.09073,0.02718,1.97889,2.66565,3.49842,1.1792,0.000708295,0.000708295,0.000708295
6,12.7282,2.17121,2.66779,1.64669,1.08863,0.04059,0.39342,0.22825,0.08134,0.03681,0.3449,0.18381,0.05736,2.0708,2.65771,3.30252,1.18688,0.000843569,0.000843569,0.000843569
7,14.6002,2.22185,2.59597,1.63002,1.0971,0.05464,0.42859,0.25375,0.09741,0.0467,0.36123,0.17739,0.05665,1.99233,2.56757,3.0941,1.14718,0.000975872,0.000975872,0.000975872
8,16.4544,2.07509,2.50066,1.51189,1.08464,0.62696,0.2399,0.30227,0.12168,0.58023,0.1995,0.23459,0.08241,1.94266,2.47564,2.701,1.1485,0.00110521,0.00110521,0.00110521
9,18.3514,2.11617,2.56575,1.47224,1.07023,0.54993,0.29863,0.44295,0.1758,0.46474,0.19193,0.30014,0.10023,1.94371,2.38701,2.43526,1.16142,0.001151,0.001151,0.001151
10,20.2454,2.12184,2.53305,1.447,1.06034,0.86425,0.15746,0.45494,0.18449,0.74177,0.13027,0.26514,0.07422,1.91521,2.81958,2.29782,1.12685,0.00113863,0.00113863,0.00113863
11,22.1676,2.10402,2.45284,1.43384,1.0753,0.5738,0.35885,0.49165,0.2025,0.38058,0.24191,0.26892,0.07829,1.87731,2.65809,1.89977,1.13736,0.00112625,0.00112625,0.00112625
12,24.0386,2.06453,2.50569,1.42553,1.04527,0.5683,0.52319,0.54585,0.22212,0.42666,0.37449,0.33093,0.10147,1.84199,2.37099,1.70585,1.11704,0.00111388,0.00111388,0.00111388
13,26.0962,1.98161,2.35307,1.34941,1.05646,0.55184,0.60258,0.57057,0.22303,0.40302,0.4206,0.34192,0.10474,1.88416,2.36523,1.53454,1.12661,0.0011015,0.0011015,0.0011015
14,27.9551,1.89919,2.34645,1.30874,1.05111,0.5815,0.67925,0.61783,0.27888,0.48612,0.47763,0.4101,0.13518,1.72693,2.23915,1.3026,1.09011,0.00108913,0.00108913,0.00108913
15,29.8495,1.90963,2.31269,1.26171,1.02874,0.59297,0.63664,0.61652,0.28114,0.49358,0.4774,0.4382,0.14893,1.73536,2.27577,1.23574,1.09414,0.00107675,0.00107675,0.00107675
16,31.7001,1.91184,2.35634,1.26907,1.01768,0.61223,0.6308,0.62706,0.27841,0.47791,0.47765,0.40962,0.13634,1.75195,2.24752,1.21234,1.10891,0.00106437,0.00106437,0.00106437
17,33.634,1.9329,2.36731,1.25786,1.04209,0.59874,0.63834,0.61807,0.2779,0.49109,0.55803,0.45063,0.15832,1.7472,2.21033,1.13769,1.10238,0.001052,0.001052,0.001052
18,35.5535,1.87657,2.30844,1.20448,1.0209,0.63606,0.64484,0.63489,0.2732,0.48223,0.54416,0.45382,0.16064,1.75327,2.21152,1.11285,1.11726,0.00103962,0.00103962,0.00103962
19,37.4343,1.86598,2.3043,1.23452,1.02002,0.63653,0.67778,0.645,0.29943,0.46633,0.48308,0.39476,0.13542,1.68739,2.21363,1.10446,1.09526,0.00102725,0.00102725,0.00102725
20,39.3576,1.80152,2.21703,1.17251,1.01645,0.61188,0.69354,0.64704,0.2906,0.46715,0.52572,0.40392,0.12646,1.68272,2.22705,1.04645,1.09551,0.00101488,0.00101488,0.00101488
21,41.3376,1.85649,2.33729,1.20096,1.00086,0.58897,0.65781,0.62456,0.30342,0.47396,0.49724,0.40953,0.14046,1.66562,2.13343,1.02844,1.09082,0.0010025,0.0010025,0.0010025
22,43.2217,1.82522,2.27058,1.15723,1.01007,0.55183,0.64354,0.61893,0.29836,0.4124,0.50262,0.38324,0.13911,1.6302,2.16367,1.03586,1.08104,0.000990125,0.000990125,0.000990125
23,45.1133,1.84469,2.2309,1.15102,1.00397,0.56495,0.58666,0.61422,0.27737,0.44333,0.42402,0.38852,0.12837,1.68095,2.16917,1.05767,1.08779,0.00097775,0.00097775,0.00097775
24,47.0192,1.79631,2.16987,1.1294,1.01483,0.57004,0.62729,0.6468,0.30373,0.47378,0.43988,0.4195,0.15164,1.62731,2.13746,1.00808,1.06739,0.000965375,0.000965375,0.000965375
25,48.9216,1.79898,2.17132,1.1181,1.00416,0.56438,0.63209,0.6372,0.29087,0.41563,0.47413,0.37634,0.12262,1.6462,2.15322,1.00652,1.09726,0.000953,0.000953,0.000953
26,50.7858,1.75654,2.18744,1.09028,0.99944,0.53481,0.64608,0.62687,0.29731,0.42432,0.50117,0.41445,0.13898,1.62282,2.1306,1.00665,1.09336,0.000940625,0.000940625,0.000940625
27,52.6426,1.77156,2.16011,1.10032,1.01296,0.52334,0.7036,0.6455,0.29448,0.41294,0.52831,0.41414,0.13787,1.66607,2.19747,1.00701,1.0849,0.00092825,0.00092825,0.00092825
28,54.5372,1.69861,2.15738,1.05825,0.99686,0.49391,0.70255,0.65169,0.3061,0.71701,0.43987,0.43331,0.14282,1.63141,2.09039,1.01502,1.09156,0.000915875,0.000915875,0.000915875
29,56.4949,1.77641,2.19345,1.08882,1.01122,0.60527,0.75602,0.68358,0.3179,0.48188,0.55079,0.45816,0.15544,1.61577,2.09185,0.9926,1.08088,0.0009035,0.0009035,0.0009035
30,58.4261,1.73916,2.14183,1.06316,0.98884,0.60617,0.70507,0.67867,0.32248,0.45896,0.56375,0.47288,0.16446,1.55854,2.09911,0.96112,1.05369,0.000891125,0.000891125,0.000891125
31,60.3563,1.74731,2.15462,1.07237,0.98746,0.60798,0.66654,0.67776,0.32141,0.42757,0.51504,0.41113,0.13296,1.5875,2.08696,0.95315,1.05355,0.00087875,0.00087875,0.00087875
32,62.2766,1.68761,2.08009,1.03317,0.99553,0.56867,0.69948,0.68493,0.33784,0.56571,0.48285,0.45023,0.15199,1.53189,2.09165,0.93053,1.05051,0.000866375,0.000866375,0.000866375
33,64.1616,1.71618,2.10972,1.03808,0.98949,0.86689,0.6063,0.68463,0.33949,0.7372,0.46532,0.44322,0.15552,1.54856,2.07237,0.93373,1.06351,0.000854,0.000854,0.000854
34,66.0091,1.72779,2.05837,1.02619,0.98722,0.57888,0.68263,0.68826,0.32744,0.40917,0.55716,0.42446,0.13816,1.58504,2.10711,0.94765,1.061,0.000841625,0.000841625,0.000841625
35,67.8773,1.6726,2.03811,1.00156,0.97591,0.58102,0.70957,0.68621,0.33439,0.4868,0.46346,0.43039,0.14602,1.54943,2.06659,0.92598,1.05865,0.00082925,0.00082925,0.00082925
36,69.7181,1.61878,2.03261,0.98258,0.97839,0.59747,0.69049,0.69034,0.33717,0.49323,0.44459,0.42057,0.13496,1.56238,2.08815,0.93126,1.04259,0.000816875,0.000816875,0.000816875
37,71.722,1.69403,2.10587,1.00142,0.98494,0.59634,0.68724,0.69292,0.34252,0.43902,0.5522,0.44391,0.14935,1.51615,2.0941,0.92904,1.04228,0.0008045,0.0008045,0.0008045
38,73.6161,1.66247,2.06471,0.991,0.97576,0.62139,0.74742,0.71469,0.33539,0.43894,0.52069,0.40422,0.13371,1.56764,2.0841,0.94682,1.05047,0.000792125,0.000792125,0.000792125
39,75.5204,1.6733,2.01709,0.99828,0.97855,0.63812,0.73566,0.70605,0.34819,0.50741,0.56859,0.50241,0.17426,1.53323,2.11221,0.90383,1.03354,0.00077975,0.00077975,0.00077975
40,77.4397,1.71369,2.112,1.01257,0.97381,0.59454,0.73634,0.69635,0.3379,0.48101,0.51265,0.45505,0.15277,1.55001,2.08234,0.93702,1.04304,0.000767375,0.000767375,0.000767375
41,79.3238,1.69764,2.08521,0.99522,0.97659,0.64127,0.72143,0.7007,0.32002,0.52915,0.58007,0.5009,0.17441,1.65783,2.19671,0.9188,1.06047,0.000755,0.000755,0.000755
42,81.1817,1.79057,2.13932,1.00866,0.98099,0.56922,0.74022,0.69856,0.31821,0.44994,0.50424,0.40971,0.1335,1.63658,2.09179,0.95407,1.0661,0.000742625,0.000742625,0.000742625
43,83.0611,1.77353,2.12643,1.02062,0.98352,0.61911,0.76685,0.71373,0.35707,0.50703,0.58128,0.48276,0.16695,1.52722,2.05272,0.90426,1.04249,0.00073025,0.00073025,0.00073025
44,85.0054,1.70132,2.10978,1.00476,0.97108,0.63188,0.7443,0.71453,0.34872,0.4628,0.55936,0.45203,0.14727,1.53301,2.09388,0.89541,1.03336,0.000717875,0.000717875,0.000717875
45,86.9135,1.67499,2.05225,0.98646,0.97404,0.62504,0.71036,0.71455,0.34451,0.49679,0.56992,0.49214,0.17226,1.52513,2.02916,0.8954,1.03914,0.0007055,0.0007055,0.0007055
46,88.7666,1.65713,2.04445,0.96707,0.97496,0.62867,0.75045,0.72251,0.36459,0.46774,0.56014,0.47485,0.16079,1.49371,2.03804,0.89061,1.02491,0.000693125,0.000693125,0.000693125
47,90.6831,1.63206,2.05728,0.96585,0.96998,0.66203,0.76117,0.74854,0.36162,0.50743,0.54094,0.46295,0.15535,1.5234,2.05973,0.89948,1.03201,0.00068075,0.00068075,0.00068075
48,92.5691,1.58522,1.99099,0.95296,0.97721,0.62466,0.71848,0.71317,0.35534,0.52997,0.47376,0.42125,0.13842,1.53566,2.10297,0.89582,1.03077,0.000668375,0.000668375,0.000668375
49,94.4393,1.6135,2.04767,0.95394,0.97043,0.57677,0.68195,0.69609,0.32685,0.48481,0.44527,0.41786,0.13289,1.611,2.17621,0.9366,1.04433,0.000656,0.000656,0.000656
50,96.3578,1.61246,1.93044,0.93584,0.95597,0.62559,0.74831,0.73254,0.36229,0.45967,0.53383,0.44956,0.14626,1.53938,2.08371,0.90116,1.04352,0.000643625,0.000643625,0.000643625
