epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.78896,2.12699,3.87936,3.31558,1.93287,0.24399,0.22222,0.21526,0.12726,0.73471,0.11111,0.1436,0.0417,1.5729,4.09407,3.20979,1.81752,8e-05,8e-05,8e-05
2,2.8008,2.14587,3.94128,3.42415,1.93993,0.25699,0.33333,0.2222,0.07666,0.25699,0.33333,0.1675,0.03736,1.27326,2.47188,3.97149,1.42548,0.000178218,0.000178218,0.000178218
3,3.98856,1.51226,2.21411,2.12697,1.31664,0.49404,0.66667,0.55635,0.35588,0.4004,0.55556,0.38482,0.07841,1.30045,2.25977,4.18732,1.21558,0.000274456,0.000274456,0.000274456
4,5.15758,1.29234,1.92453,1.26567,1.11332,0.2689,0.77778,0.39301,0.27858,0.26765,0.55556,0.38187,0.17124,1.54737,2.04563,3.18699,1.51794,0.000368714,0.000368714,0.000368714
5,6.2657,1.27889,1.81349,1.24732,1.13536,0.29214,0.44444,0.20952,0.12304,0.29214,0.44444,0.18785,0.06048,1.85161,2.62976,2.97018,1.8341,0.000460992,0.000460992,0.000460992
6,7.46267,1.19732,1.6759,1.09753,1.09383,0.44544,0.44444,0.28376,0.16445,0.46483,0.33333,0.21977,0.08089,2.0191,3.1169,3.14325,2.0986,0.00055129,0.00055129,0.00055129
7,8.60447,1.29034,1.87723,1.10917,1.11178,0.93833,0.22222,0.25364,0.06654,0.93833,0.22222,0.22739,0.06899,2.83598,4.78578,2.51975,2.8132,0.000639608,0.000639608,0.000639608
8,9.71295,1.29491,1.85245,1.15572,1.14113,0.56909,0.44444,0.37119,0.12021,0.48211,0.33333,0.25291,0.0765,2.7511,4.77286,2.97529,2.5896,0.000725946,0.000725946,0.000725946
9,10.8701,1.22423,1.85256,0.96464,1.09437,0.32059,0.55556,0.3619,0.14928,0.3217,0.44444,0.23859,0.08828,1.97872,4.00948,2.84295,1.82239,0.000810304,0.000810304,0.000810304
10,11.9706,1.21449,1.66997,0.92776,1.10264,0.39629,0.3674,0.34937,0.13671,0.28546,0.22222,0.11437,0.04211,1.8427,3.95865,2.85236,1.75994,0.000892682,0.000892682,0.000892682
11,13.0883,1.25326,1.63575,0.98771,1.13516,0.31972,0.55556,0.29831,0.17035,0.27179,0.22222,0.16642,0.06096,1.82186,4.64082,2.37557,1.90123,0.00097308,0.00097308,0.00097308
12,14.2064,1.18703,1.5368,0.90154,1.11581,0.70946,0.54429,0.54026,0.31188,0.64008,0.44444,0.38894,0.17637,1.44249,3.16262,1.90017,1.55576,0.0010515,0.0010515,0.0010515
13,15.3609,1.16373,1.53147,0.84858,1.07268,0.67237,0.55556,0.51804,0.23164,0.55679,0.44444,0.38138,0.16606,1.81491,2.62322,2.61596,2.08621,0.00112794,0.00112794,0.00112794
14,16.5036,1.23396,1.6365,0.94065,1.1381,0.36284,0.77778,0.44048,0.20537,0.25146,0.55556,0.23475,0.11372,1.74686,3.41048,1.93817,2.03986,0.00120239,0.00120239,0.00120239
15,17.6538,1.24975,1.75673,0.91321,1.11603,0.85067,0.44444,0.62389,0.30992,0.49407,0.33333,0.22873,0.05097,1.5983,4.31586,1.70393,1.96631,0.00127487,0.00127487,0.00127487
16,18.8682,1.24986,1.69886,0.8887,1.15684,0.61393,0.55556,0.41608,0.21355,0.36331,0.33333,0.20191,0.07244,2.13454,9.0201,2.1216,2.24908,0.00134537,0.00134537,0.00134537
17,19.994,1.1733,1.54132,0.81237,1.07475,0.54425,0.44444,0.32338,0.2168,0.54425,0.44444,0.27756,0.0363,1.86432,7.04273,1.92328,1.85595,0.00141389,0.00141389,0.00141389
18,21.0994,1.23968,1.73798,0.96972,1.13406,0.67027,0.77778,0.67983,0.34563,0.54491,0.44444,0.30542,0.09163,1.58856,7.13178,1.57815,1.88605,0.00148043,0.00148043,0.00148043
19,22.202,1.18327,1.61932,0.83635,1.08879,0.48679,0.88889,0.57724,0.32487,0.36436,0.66667,0.28236,0.10816,1.69376,2.98041,1.50917,2.10213,0.00154498,0.00154498,0.00154498
20,23.3239,1.19765,1.56351,0.85594,1.08971,0.57779,0.55556,0.50913,0.20943,0.12693,0.22222,0.09338,0.05097,1.96598,2.90735,2.16053,3.118,0.00160756,0.00160756,0.00160756
21,24.3735,1.15211,1.55813,0.89142,1.09622,0.7703,0.74788,0.70722,0.39411,0.5614,0.44444,0.48064,0.22177,1.40486,2.64388,1.61425,1.65713,0.001604,0.001604,0.001604
22,25.4959,1.13099,1.45779,0.8345,1.04943,0.53636,0.66667,0.6289,0.38101,0.53636,0.66667,0.64013,0.27549,1.48746,1.89202,2.01224,1.707,0.0015842,0.0015842,0.0015842
23,26.6236,1.12899,1.57139,0.80944,1.07537,0.75986,0.77778,0.77576,0.39551,0.70194,0.66667,0.6444,0.29907,1.53706,2.0351,2.19425,1.91503,0.0015644,0.0015644,0.0015644
24,27.8476,1.14016,1.57518,0.81624,1.07684,0.52307,0.55556,0.565,0.26545,0.52307,0.55556,0.565,0.19135,1.80305,2.1272,1.82728,1.57544,0.0015446,0.0015446,0.0015446
25,28.945,1.26009,1.61911,0.85942,1.08509,0.59427,0.66667,0.70153,0.33444,0.61555,0.55556,0.67605,0.253,1.69885,2.09339,1.65205,1.50165,0.0015248,0.0015248,0.0015248
26,30.0164,1.17826,1.59206,0.83809,1.09677,0.57046,0.44444,0.48774,0.25387,0.57046,0.44444,0.43366,0.18621,1.52246,2.03383,2.05538,1.52522,0.001505,0.001505,0.001505
27,31.1296,1.07858,1.5496,0.73783,1.04039,0.35859,0.77778,0.52123,0.29889,0.50749,0.44444,0.4666,0.15666,1.74815,2.28961,2.19623,1.70061,0.0014852,0.0014852,0.0014852
28,32.2696,1.03062,1.50555,0.70109,1.03498,0.61145,0.44444,0.51641,0.21867,0.37183,0.65822,0.41067,0.16423,1.89148,2.37138,2.37034,1.63413,0.0014654,0.0014654,0.0014654
29,33.395,1.14813,1.62611,0.7459,1.08156,0.60967,0.44444,0.54728,0.26065,0.60967,0.44444,0.37801,0.16409,1.97114,2.08219,1.60082,1.86551,0.0014456,0.0014456,0.0014456
30,34.4915,1.08436,1.50419,0.73964,1.03981,0.88096,0.88889,0.94893,0.42472,0.76354,0.77778,0.6058,0.20831,1.70799,2.1694,1.03433,1.79859,0.0014258,0.0014258,0.0014258
31,35.684,1.08008,1.46308,0.68628,1.02217,0.90102,0.77778,0.89769,0.50677,0.74501,0.66667,0.68312,0.23618,1.51243,2.14406,0.88944,1.73154,0.001406,0.001406,0.001406
32,36.8426,1.10932,1.46426,0.76465,1.0682,0.83148,0.66667,0.80118,0.53125,0.83148,0.66667,0.80118,0.32163,1.37947,1.61833,1.31692,1.49846,0.0013862,0.0013862,0.0013862
33,37.985,1.0759,1.46494,0.73287,1.03719,0.63573,0.77584,0.69877,0.32472,0.65463,0.66667,0.63694,0.24559,1.62442,1.79262,1.49678,1.68183,0.0013664,0.0013664,0.0013664
34,39.0975,1.07698,1.46685,0.72669,1.0582,0.77183,0.75397,0.77788,0.43451,0.8689,0.55556,0.64844,0.18236,1.59807,1.99667,1.35274,1.65754,0.0013466,0.0013466,0.0013466
35,40.2047,1.0526,1.48813,0.68962,1.02429,0.76803,0.55556,0.6718,0.26646,0.64493,0.44444,0.47327,0.14083,1.92617,2.0908,1.76857,2.01736,0.0013268,0.0013268,0.0013268
36,41.339,1.0422,1.50098,0.66739,1.03709,0.96519,0.66667,0.852,0.51101,0.96519,0.66667,0.76383,0.27857,1.35946,1.88548,0.9429,1.43415,0.001307,0.001307,0.001307
37,42.4416,1.0096,1.40407,0.70521,1.01676,0.80324,0.77778,0.79792,0.5041,0.67603,0.66667,0.56197,0.26865,1.36615,1.79549,1.18538,1.67811,0.0012872,0.0012872,0.0012872
38,43.5475,1.00816,1.42863,0.69669,1.02408,0.77811,0.77778,0.81036,0.51567,0.65954,0.66667,0.56175,0.30196,1.34269,1.83226,1.2694,1.51395,0.0012674,0.0012674,0.0012674
39,44.7463,1.00439,1.37745,0.68021,0.98964,0.81065,0.77778,0.85197,0.50012,0.692,0.66667,0.62551,0.33679,1.36017,1.58148,1.24223,1.40027,0.0012476,0.0012476,0.0012476
40,45.873,1.04197,1.41615,0.67217,1.02638,0.62339,0.55556,0.63198,0.41341,0.49423,0.7611,0.52641,0.22869,1.15473,1.78595,1.86501,1.17885,0.0012278,0.0012278,0.0012278
41,46.9631,1.00429,1.38223,0.69046,1.01474,0.63329,0.66667,0.56549,0.41958,0.52633,0.55556,0.44555,0.21431,1.11105,2.09453,1.66607,1.23261,0.001208,0.001208,0.001208
42,48.0733,1.01696,1.4147,0.68503,1.02592,0.82937,0.54234,0.72965,0.53706,0.65928,0.43214,0.46104,0.18972,1.14853,2.12804,1.27398,1.24401,0.0011882,0.0011882,0.0011882
43,49.1919,1.04272,1.4712,0.69355,1.01691,0.84891,0.66667,0.7977,0.49072,0.42775,0.66667,0.43404,0.1657,1.21128,2.1872,1.23572,1.37657,0.0011684,0.0011684,0.0011684
44,50.3506,0.97319,1.38752,0.6562,1.00105,0.9839,0.77778,0.86786,0.62966,0.9839,0.77778,0.88247,0.38723,1.05607,1.65487,1.05779,1.15557,0.0011486,0.0011486,0.0011486
45,51.4967,0.96287,1.38328,0.64074,0.99803,0.78556,0.88889,0.88733,0.56733,0.89597,0.66667,0.83301,0.37461,1.11798,1.64199,1.038,1.26072,0.0011288,0.0011288,0.0011288
46,52.6948,0.99739,1.42701,0.67319,1.02213,0.86461,0.77778,0.9053,0.59581,0.68683,1,0.91356,0.33786,1.09789,1.68115,0.9771,1.15611,0.001109,0.001109,0.001109
47,53.782,0.96693,1.35777,0.63514,0.99505,0.7373,0.77778,0.76625,0.60766,0.7373,0.77778,0.77527,0.25473,1.36366,1.95114,1.10661,1.35662,0.0010892,0.0010892,0.0010892
48,54.9087,1.0005,1.3703,0.63037,1.00447,0.75069,0.77778,0.68617,0.50603,0.75069,0.77778,0.68943,0.30906,1.17285,1.94644,1.30609,1.18054,0.0010694,0.0010694,0.0010694
49,56.0281,0.97114,1.33478,0.66243,0.98988,0.67722,0.55556,0.51406,0.33576,0.67722,0.55556,0.45992,0.22066,1.19822,1.81891,1.54155,1.27678,0.0010496,0.0010496,0.0010496
