epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.25289,3.66758,3.65605,2.76242,2.26008,0.02469,0.10638,0.01392,0.00388,0.03018,0.06383,0.0117,0.00275,3.69323,2.94613,3.06314,2.43858,0.00014,0.00014,0.00014
2,3.63745,3.12899,2.51709,2.06879,1.9393,0.00944,0.12057,0.00714,0.00203,0.01611,0.20567,0.01421,0.00403,4.24625,2.63244,3.21898,2.80721,0.00029703,0.00029703,0.00029703
3,4.89662,2.8175,2.10059,1.62745,1.72492,0.005,0.06383,0.00289,0.0011,0.01167,0.14894,0.00811,0.00327,4.63726,2.80853,3.51229,2.98124,0.000450892,0.000450892,0.000450892
4,6.15842,2.67611,1.97379,1.56936,1.67429,0.05201,0.06383,0.02081,0.00615,0.04876,0.06383,0.02941,0.00871,3.61302,2.5343,2.90565,2.43343,0.000601586,0.000601586,0.000601586
5,7.37167,2.46192,1.85641,1.42644,1.57023,0.27311,0.31206,0.23454,0.08067,0.28618,0.32699,0.2503,0.07362,2.48709,1.9455,1.92212,1.83613,0.000749112,0.000749112,0.000749112
6,8.6454,2.43022,1.80683,1.37115,1.53842,0.50342,0.43972,0.42523,0.13687,0.40148,0.4539,0.35465,0.08324,2.47346,1.7522,1.63653,1.80018,0.00089347,0.00089347,0.00089347
7,9.89468,2.35378,1.78895,1.36278,1.49597,0.51342,0.52482,0.51319,0.18839,0.48574,0.47518,0.44965,0.12133,2.32351,1.57298,1.5187,1.64777,0.00103466,0.00103466,0.00103466
8,11.158,2.28759,1.68153,1.28363,1.48051,0.58659,0.6383,0.60328,0.26259,0.56826,0.62544,0.60108,0.18216,2.13414,1.60407,1.46896,1.48759,0.00117268,0.00117268,0.00117268
9,12.3738,2.23551,1.65378,1.23773,1.41549,0.70832,0.58558,0.65383,0.25254,0.5493,0.59574,0.57645,0.14918,2.16084,1.52599,1.56163,1.46195,0.00130754,0.00130754,0.00130754
10,13.5759,2.18014,1.6134,1.22901,1.41227,0.71199,0.63121,0.68872,0.28856,0.64031,0.68177,0.69106,0.23418,2.0289,1.49368,1.21588,1.41218,0.00143922,0.00143922,0.00143922
11,14.7884,2.20164,1.61953,1.20245,1.37832,0.75577,0.66667,0.73202,0.34752,0.71858,0.64539,0.71763,0.21972,1.81205,1.36276,1.13811,1.36894,0.00156774,0.00156774,0.00156774
12,16.0299,2.05232,1.60524,1.19854,1.34463,0.75206,0.7305,0.77101,0.33751,0.69626,0.67376,0.68993,0.22535,1.87481,1.64462,1.10366,1.34144,0.00169309,0.00169309,0.00169309
13,17.3336,2.01029,1.59434,1.14858,1.31553,0.74132,0.69504,0.72249,0.32818,0.70398,0.69153,0.71975,0.24743,1.88608,1.31246,1.1508,1.35796,0.0017624,0.0017624,0.0017624
14,18.5961,1.93912,1.58188,1.09514,1.28245,0.74052,0.67376,0.74101,0.361,0.64401,0.62869,0.66865,0.20772,1.82427,1.34269,1.13479,1.34398,0.0017426,0.0017426,0.0017426
15,19.8447,1.89194,1.53495,1.0834,1.26833,0.67034,0.64898,0.70414,0.32,0.59708,0.57806,0.57938,0.17786,1.92453,1.3301,1.24349,1.31619,0.0017228,0.0017228,0.0017228
16,21.0564,1.91461,1.49291,1.08433,1.27274,0.80787,0.68085,0.77627,0.34348,0.7727,0.62686,0.74121,0.22361,1.81399,1.44256,1.10861,1.2996,0.001703,0.001703,0.001703
