epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0301,4.13226,5.40382,3.82877,4.18461,0.005,0.33333,0.00346,0.00179,0,0,0,0,3.15688,5.13614,3.69895,4.15798,8e-05,8e-05,8e-05
2,21.8465,4.03628,5.3106,3.78679,4.1681,0.005,0.33333,0.00353,0.0018,0,0,0,0,3.1547,5.13407,3.69833,4.15488,0.000178218,0.000178218,0.000178218
3,32.0201,4.10765,5.09521,3.7548,4.1331,0.005,0.33333,0.00345,0.00167,0,0,0,0,3.14715,5.12735,3.69692,4.14653,0.000274456,0.000274456,0.000274456
4,41.8295,4.14567,5.02572,3.71343,4.09405,0.005,0.33333,0.00358,0.00151,0,0,0,0,3.13601,5.11776,3.69544,4.13518,0.000368714,0.000368714,0.000368714
5,51.4398,4.09863,4.94629,3.69211,4.10094,0.005,0.33333,0.00359,0.00191,0,0,0,0,3.11133,5.09685,3.69066,4.11287,0.000460992,0.000460992,0.000460992
6,61.1347,4.18387,4.85667,3.67658,4.05828,0.005,0.33333,0.00527,0.00212,0,0,0,0,3.08455,5.07665,3.6854,4.09335,0.00055129,0.00055129,0.00055129
7,70.8158,3.95133,4.64862,3.59306,4.01638,0.005,0.33333,0.00558,0.0024,0,0,0,0,3.02692,5.02751,3.67379,4.05609,0.000639608,0.000639608,0.000639608
8,80.6573,4.04537,4.44431,3.57621,3.94636,0.005,0.33333,0.00516,0.0024,0,0,0,0,2.98366,4.9857,3.66454,4.02645,0.000725946,0.000725946,0.000725946
9,90.2936,3.96787,3.94017,3.50586,3.87456,0.005,0.33333,0.00638,0.00272,0,0,0,0,2.9495,4.89536,3.65416,3.97857,0.000810304,0.000810304,0.000810304
10,99.8571,3.91082,3.43483,3.48394,3.86405,0.005,0.33333,0.01671,0.00404,0,0,0,0,2.95226,4.7963,3.65188,3.94948,0.000892682,0.000892682,0.000892682
11,109.423,3.90145,3.18181,3.43528,3.81863,0.005,0.33333,0.00899,0.00263,0,0,0,0,2.98059,4.71315,3.6438,3.93533,0.00097308,0.00097308,0.00097308
12,119.063,3.81205,2.98697,3.34461,3.74775,0.005,0.33333,0.00587,0.00241,0,0,0,0,3.13899,4.63773,3.63526,4.01128,0.0010515,0.0010515,0.0010515
13,128.429,3.62589,2.98447,3.24355,3.72323,0.005,0.33333,0.00609,0.00226,0,0,0,0,3.14586,4.58147,3.64138,4.00214,0.00112794,0.00112794,0.00112794
