epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,11.4702,1.18991,2.66556,1.49521,0.65004,0.94073,0.91158,0.64453,1.64403,1.0753,1.34759,1.25835e-05,1.25835e-05,1.25835e-05
14,12.2123,1.21464,3.46072,1.63311,0.65602,0.7713,0.91183,0.65091,1.64264,1.08877,1.34674,1.3479e-05,1.3479e-05,1.3479e-05
15,12.9327,1.25782,2.47461,1.67518,0.65875,0.93798,0.91339,0.6487,1.64416,1.0888,1.34807,1.43509e-05,1.43509e-05,1.43509e-05
16,13.6303,1.00347,2.16498,1.42838,0.64817,0.93588,0.91364,0.64688,1.62878,1.09103,1.34577,1.51993e-05,1.51993e-05,1.51993e-05
17,14.3712,0.71459,2.37549,1.22706,0.65346,0.93729,0.91368,0.64773,1.64232,1.10733,1.34709,1.60241e-05,1.60241e-05,1.60241e-05
18,15.1349,1.18272,2.38576,1.5247,0.65346,0.93729,0.91368,0.64773,1.64232,1.10733,1.34709,1.68253e-05,1.68253e-05,1.68253e-05
19,15.862,1.07445,2.10804,1.34394,0.65706,0.76494,0.9121,0.64056,1.63386,1.13799,1.35068,1.7603e-05,1.7603e-05,1.7603e-05
20,16.5442,1.13832,2.42401,1.48873,0.65706,0.76494,0.9121,0.64056,1.63386,1.13799,1.35068,1.83571e-05,1.83571e-05,1.83571e-05
21,17.2839,0.96999,2.15105,1.29805,0.85069,0.65,0.91487,0.62546,1.6297,1.17627,1.35124,1.90876e-05,1.90876e-05,1.90876e-05
22,17.9571,0.97989,1.83644,1.32684,0.85069,0.65,0.91487,0.62546,1.6297,1.17627,1.35124,1.97946e-05,1.97946e-05,1.97946e-05
23,18.6727,0.82844,1.7023,1.28166,0.84924,0.65,0.91146,0.6238,1.6481,1.20461,1.36098,2.0478e-05,2.0478e-05,2.0478e-05
24,19.4831,1.22012,1.69295,1.58909,0.84924,0.65,0.91146,0.6238,1.6481,1.20461,1.36098,2.11379e-05,2.11379e-05,2.11379e-05
25,20.2954,0.92414,1.76358,1.20026,0.82586,0.65,0.85737,0.61211,1.63501,1.23084,1.35853,2.17741e-05,2.17741e-05,2.17741e-05
26,21.0971,0.73108,1.52504,1.16924,0.82586,0.65,0.85737,0.61211,1.63501,1.23084,1.35853,2.23869e-05,2.23869e-05,2.23869e-05
27,22.0478,0.85594,1.30855,1.14048,0.80557,0.65,0.85755,0.61638,1.62678,1.25483,1.35629,2.2976e-05,2.2976e-05,2.2976e-05
28,22.9459,0.70996,1.1215,1.18875,0.80557,0.65,0.85755,0.61638,1.62678,1.25483,1.35629,2.35417e-05,2.35417e-05,2.35417e-05
29,23.8361,1.07133,1.46575,1.40554,0.7738,0.65,0.85676,0.61581,1.62173,1.30076,1.35571,2.40837e-05,2.40837e-05,2.40837e-05
