epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,367.301,1.33942,1.72461,0.66034,0.95028,0.82584,0.78954,0.85109,0.44922,0.64779,0.61159,0.58979,0.21667,1.40434,1.82513,0.66312,0.93581,0.00107056,0.00107056,0.00107056
31,379.446,1.32186,1.70711,0.65331,0.94929,0.78232,0.75116,0.81515,0.42502,0.59489,0.57982,0.52127,0.17042,1.47234,2.02533,0.78103,0.96492,0.00106437,0.00106437,0.00106437
32,391.466,1.32063,1.67166,0.65416,0.94827,0.80925,0.75691,0.83172,0.435,0.59431,0.56772,0.56662,0.20181,1.43018,1.94435,0.66628,0.94913,0.00105819,0.00105819,0.00105819
33,403.526,1.30722,1.70148,0.65209,0.95292,0.77627,0.77994,0.82191,0.41325,0.52699,0.5396,0.48996,0.16051,1.49588,2.22177,0.6994,0.94626,0.001052,0.001052,0.001052
34,415.573,1.32792,1.67294,0.65147,0.93904,0.8805,0.76403,0.85016,0.44129,0.68424,0.61558,0.59978,0.22736,1.36657,1.89873,0.65652,0.93435,0.00104581,0.00104581,0.00104581
35,427.54,1.29529,1.6796,0.64212,0.95079,0.7965,0.76669,0.81496,0.39961,0.5264,0.55365,0.49788,0.16753,1.49759,2.13291,0.6942,0.94888,0.00103962,0.00103962,0.00103962
36,439.407,1.29222,1.65723,0.64035,0.94108,0.81232,0.78913,0.83647,0.43779,0.58173,0.57223,0.53098,0.16971,1.44843,2.07899,0.67188,0.94102,0.00103344,0.00103344,0.00103344
37,451.23,1.30625,1.66208,0.63919,0.93316,0.80042,0.80049,0.85048,0.45367,0.59575,0.61322,0.58892,0.2157,1.38112,1.8381,0.66449,0.93371,0.00102725,0.00102725,0.00102725
38,463.201,1.25876,1.61629,0.62862,0.92465,0.83867,0.77279,0.84955,0.46678,0.59414,0.58817,0.5697,0.19438,1.37085,1.96605,0.6621,0.93095,0.00102106,0.00102106,0.00102106
39,475.19,1.24093,1.61648,0.61885,0.93039,0.78694,0.80944,0.8577,0.43887,0.59368,0.58974,0.58213,0.20456,1.43742,2.04524,0.68103,0.93658,0.00101488,0.00101488,0.00101488
