epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.32738,2.48251,3.35413,3.84476,1.34843,0.00603,0.12255,0.02761,0.00799,0.00306,0.05458,0.00737,0.00157,2.13437,2.82385,4.06411,1.09637,0.0003625,0.0003625,0.0003625
2,9.62239,2.11977,2.57939,2.14158,1.13113,0.03842,0.26548,0.1208,0.04687,0.03119,0.23957,0.13249,0.03721,2.17805,2.98065,3.68829,1.08948,0.000730199,0.000730199,0.000730199
3,13.8153,2.06294,2.48813,1.58364,1.11935,0.2254,0.30535,0.1989,0.07584,0.18101,0.36189,0.19194,0.06708,2.16577,2.62188,3.05626,1.07685,0.00109047,0.00109047,0.00109047
4,18.0541,2.00374,2.41424,1.42119,1.07829,0.64637,0.24468,0.42653,0.15299,0.53243,0.25406,0.30377,0.09965,2.10065,2.97861,2.29388,1.04222,0.00121287,0.00121287,0.00121287
5,22.3133,1.95669,2.34566,1.35987,1.06109,0.54134,0.58122,0.50909,0.19765,0.43438,0.42619,0.324,0.1063,2.00186,2.63802,1.53394,1.04086,0.0012005,0.0012005,0.0012005
6,26.4614,1.84095,2.2898,1.25666,1.04848,0.63259,0.61666,0.62227,0.26108,0.47933,0.48623,0.42701,0.14832,1.89637,2.28487,1.25441,1.03157,0.00118812,0.00118812,0.00118812
7,30.6387,1.83266,2.23936,1.23306,1.04366,0.50528,0.61966,0.60637,0.24051,0.34355,0.39684,0.29983,0.09143,1.89467,2.34315,1.11053,1.03182,0.00117575,0.00117575,0.00117575
8,34.8084,1.7293,2.15791,1.14614,1.02738,0.63619,0.67433,0.66882,0.29683,0.46968,0.41012,0.37296,0.12028,1.77283,2.28273,1.03228,1.01431,0.00116337,0.00116337,0.00116337
9,38.9274,1.77078,2.19021,1.13538,1.02797,0.68499,0.67293,0.70391,0.3107,0.49761,0.4764,0.41745,0.14384,1.73888,2.2717,0.97554,1.00103,0.001151,0.001151,0.001151
10,43.1395,1.74877,2.16028,1.11485,1.0297,0.61765,0.62583,0.65214,0.27222,0.38023,0.39296,0.3316,0.10397,1.82609,2.23625,1.0186,1.00871,0.00113863,0.00113863,0.00113863
11,47.3673,1.67043,2.09325,1.05139,1.00301,0.70952,0.69424,0.73145,0.31871,0.49197,0.50208,0.43238,0.15133,1.72562,2.27229,0.9468,0.98859,0.00112625,0.00112625,0.00112625
12,51.5697,1.65532,2.0968,1.03836,1.00089,0.76343,0.689,0.7577,0.34137,0.49828,0.5417,0.48098,0.1668,1.66443,2.22836,0.9369,0.98013,0.00111388,0.00111388,0.00111388
13,55.7044,1.67433,2.10407,1.03426,1.01234,0.62245,0.59738,0.61952,0.25564,0.38138,0.36783,0.30398,0.09803,1.83317,2.58821,1.00293,0.99573,0.0011015,0.0011015,0.0011015
14,59.8919,1.67241,2.10091,1.01368,0.98861,0.67696,0.67395,0.69861,0.30194,0.50964,0.45227,0.4037,0.1247,1.76292,2.31617,0.96,0.98568,0.00108913,0.00108913,0.00108913
15,63.9638,1.64785,2.04858,1.02171,1.00014,0.70826,0.71152,0.73058,0.32335,0.55135,0.52765,0.47205,0.17008,1.7181,2.12233,0.94533,0.98611,0.00107675,0.00107675,0.00107675
16,68.0514,1.63967,2.03328,0.98448,0.99505,0.65556,0.71835,0.726,0.33222,0.43704,0.4689,0.38366,0.12404,1.64643,2.20322,0.90649,0.9785,0.00106437,0.00106437,0.00106437
17,72.1165,1.62383,2.01754,0.96422,0.98834,0.74295,0.72236,0.7496,0.34194,0.57159,0.55551,0.48005,0.16873,1.67153,2.15802,0.8869,0.97533,0.001052,0.001052,0.001052
18,76.1308,1.57557,1.98323,0.94249,0.97616,0.69277,0.71721,0.74141,0.33542,0.46068,0.50179,0.42015,0.13847,1.69943,2.32282,0.90209,0.97493,0.00103962,0.00103962,0.00103962
19,80.1835,1.5868,2.03101,0.94397,0.98867,0.67946,0.71699,0.71725,0.32841,0.5147,0.53035,0.44835,0.15512,1.68014,2.25035,0.89154,0.97366,0.00102725,0.00102725,0.00102725
20,84.3473,1.60461,2.02563,0.93585,0.98365,0.72229,0.72562,0.76609,0.35497,0.53589,0.46938,0.42661,0.13941,1.62207,2.14646,0.88627,0.96844,0.00101488,0.00101488,0.00101488
21,88.4222,1.60257,2.00348,0.93672,0.97645,0.76995,0.73916,0.78601,0.36674,0.57826,0.54122,0.48362,0.16501,1.62177,2.24854,0.87411,0.96514,0.0010025,0.0010025,0.0010025
22,92.4755,1.52882,1.91302,0.90083,0.96418,0.77325,0.73749,0.79243,0.36306,0.57934,0.52636,0.49903,0.17676,1.6252,2.14314,0.85069,0.9609,0.000990125,0.000990125,0.000990125
23,96.7391,1.55612,1.96017,0.90589,0.96903,0.75936,0.71374,0.76456,0.36901,0.51286,0.46576,0.4048,0.1384,1.58513,2.14103,0.85492,0.96513,0.00097775,0.00097775,0.00097775
24,100.939,1.51092,1.93865,0.88113,0.96583,0.77635,0.7196,0.77128,0.36065,0.58889,0.54831,0.52,0.18147,1.64374,2.10235,0.84655,0.96832,0.000965375,0.000965375,0.000965375
25,105.119,1.54129,1.9298,0.89565,0.96232,0.78628,0.74675,0.80406,0.3929,0.54716,0.54838,0.49592,0.16797,1.54596,2.02259,0.83315,0.95678,0.000953,0.000953,0.000953
26,109.317,1.49513,1.92167,0.87712,0.96021,0.69065,0.75151,0.78266,0.36409,0.53728,0.45345,0.43251,0.14012,1.60038,2.15477,0.85673,0.96547,0.000940625,0.000940625,0.000940625
27,113.464,1.52514,1.94541,0.88273,0.96608,0.84338,0.72304,0.81951,0.38413,0.60154,0.51531,0.49089,0.1592,1.6019,2.12981,0.84904,0.95917,0.00092825,0.00092825,0.00092825
28,117.595,1.49811,1.91991,0.87718,0.96609,0.82773,0.76477,0.84362,0.39035,0.65668,0.53144,0.53119,0.18973,1.59587,1.92539,0.81124,0.95922,0.000915875,0.000915875,0.000915875
29,121.804,1.49102,1.90596,0.86009,0.95504,0.82071,0.79206,0.84225,0.39767,0.58901,0.52357,0.49443,0.16329,1.58119,2.19742,0.82375,0.95552,0.0009035,0.0009035,0.0009035
30,125.965,1.46173,1.86756,0.83573,0.95319,0.79601,0.76508,0.81538,0.39426,0.54667,0.53636,0.47789,0.15754,1.55635,1.99108,0.82294,0.95211,0.000891125,0.000891125,0.000891125
31,130.128,1.46307,1.87693,0.83882,0.95493,0.76702,0.76484,0.80487,0.38096,0.60739,0.56097,0.54216,0.19158,1.55419,1.98415,0.80758,0.94973,0.00087875,0.00087875,0.00087875
32,134.315,1.43278,1.83543,0.82412,0.94929,0.83407,0.7689,0.83925,0.40797,0.59134,0.55403,0.51348,0.18428,1.52834,1.9943,0.79806,0.94498,0.000866375,0.000866375,0.000866375
33,138.547,1.47346,1.87286,0.84809,0.95901,0.81846,0.75401,0.83812,0.40319,0.6477,0.55378,0.53399,0.18042,1.51894,1.95019,0.81747,0.94666,0.000854,0.000854,0.000854
34,142.743,1.45716,1.81593,0.82842,0.94837,0.82559,0.74105,0.82662,0.40529,0.57904,0.51877,0.48014,0.16052,1.55665,2.17209,0.81073,0.94828,0.000841625,0.000841625,0.000841625
35,146.881,1.47973,1.85102,0.84403,0.9684,0.83495,0.73633,0.82309,0.39205,0.57458,0.50491,0.44027,0.14627,1.54821,2.1539,0.79787,0.94556,0.00082925,0.00082925,0.00082925
36,151.067,1.42887,1.82158,0.818,0.94716,0.74864,0.78559,0.82947,0.39673,0.53891,0.56438,0.49168,0.16837,1.51787,2.09702,0.80219,0.947,0.000816875,0.000816875,0.000816875
37,155.295,1.44691,1.84277,0.81218,0.94498,0.80479,0.74598,0.82358,0.40563,0.57888,0.55842,0.49573,0.16219,1.54157,1.98853,0.78943,0.9521,0.0008045,0.0008045,0.0008045
38,159.452,1.4276,1.80187,0.80369,0.94019,0.84053,0.75355,0.83536,0.40545,0.64349,0.57112,0.54002,0.18016,1.51256,1.98243,0.78143,0.93842,0.000792125,0.000792125,0.000792125
39,163.59,1.416,1.79363,0.79513,0.94201,0.80901,0.77973,0.8405,0.41344,0.56318,0.55018,0.46943,0.1576,1.51202,2.0194,0.78671,0.93775,0.00077975,0.00077975,0.00077975
40,167.851,1.40476,1.79684,0.7924,0.94329,0.82548,0.76856,0.83014,0.40834,0.54334,0.54973,0.47554,0.16075,1.50886,2.03225,0.77223,0.93872,0.000767375,0.000767375,0.000767375
41,172.086,1.3964,1.7754,0.7885,0.93631,0.81453,0.7526,0.82579,0.40836,0.56803,0.56524,0.47578,0.16316,1.504,1.99672,0.77742,0.93656,0.000755,0.000755,0.000755
42,176.21,1.42884,1.82073,0.7954,0.94189,0.85386,0.77362,0.85141,0.4231,0.63987,0.57513,0.54919,0.19649,1.47814,1.87493,0.77482,0.93207,0.000742625,0.000742625,0.000742625
43,180.412,1.39474,1.80654,0.7842,0.93813,0.81403,0.82347,0.86452,0.42658,0.66603,0.58318,0.57863,0.21092,1.51135,1.92979,0.78215,0.93825,0.00073025,0.00073025,0.00073025
44,184.639,1.40486,1.78641,0.79792,0.93846,0.82867,0.78367,0.8527,0.42411,0.58287,0.59286,0.54762,0.18394,1.49772,1.90093,0.77713,0.93665,0.000717875,0.000717875,0.000717875
45,188.852,1.38954,1.74573,0.7738,0.93445,0.86822,0.764,0.86146,0.42964,0.64961,0.53952,0.51683,0.18055,1.52455,2.11277,0.78025,0.93365,0.0007055,0.0007055,0.0007055
46,193.011,1.40697,1.77492,0.77294,0.93278,0.8664,0.73521,0.85458,0.42738,0.68173,0.5315,0.555,0.19273,1.47442,1.91301,0.76265,0.93141,0.000693125,0.000693125,0.000693125
47,197.273,1.37068,1.7275,0.75938,0.93078,0.79734,0.79402,0.85495,0.43056,0.64402,0.57896,0.5544,0.19041,1.45922,1.90056,0.75133,0.9296,0.00068075,0.00068075,0.00068075
48,201.5,1.35472,1.75195,0.75548,0.93266,0.8157,0.79501,0.83929,0.43554,0.60798,0.6111,0.56742,0.20202,1.4803,1.88935,0.74523,0.93031,0.000668375,0.000668375,0.000668375
49,205.663,1.33965,1.76223,0.75065,0.93276,0.83532,0.79362,0.85197,0.42932,0.68351,0.62267,0.59551,0.22292,1.50975,1.8809,0.75313,0.93723,0.000656,0.000656,0.000656
50,209.987,1.3463,1.68437,0.74322,0.92577,0.8884,0.76808,0.86929,0.43257,0.62576,0.57514,0.55237,0.18876,1.4676,1.99635,0.75294,0.93031,0.000643625,0.000643625,0.000643625
51,214.183,1.37345,1.76534,0.75629,0.93331,0.86488,0.78293,0.86604,0.42544,0.6246,0.53728,0.5225,0.17856,1.49396,2.0249,0.75356,0.93337,0.00063125,0.00063125,0.00063125
52,218.377,1.35763,1.7543,0.74755,0.92342,0.8719,0.74545,0.86112,0.43305,0.63056,0.5332,0.52317,0.17884,1.46572,1.86219,0.74592,0.92963,0.000618875,0.000618875,0.000618875
53,222.502,1.31736,1.70748,0.73746,0.92738,0.86932,0.76497,0.85049,0.43688,0.57571,0.54672,0.50345,0.18199,1.4585,1.911,0.74672,0.92887,0.0006065,0.0006065,0.0006065
54,226.653,1.35087,1.7176,0.73978,0.92602,0.87035,0.76508,0.85829,0.44998,0.68541,0.54443,0.55241,0.20054,1.45015,1.89975,0.73434,0.93088,0.000594125,0.000594125,0.000594125
55,230.848,1.32499,1.73857,0.74161,0.92979,0.8727,0.77996,0.86731,0.43645,0.67279,0.59108,0.57491,0.21944,1.46983,1.92247,0.74322,0.92921,0.00058175,0.00058175,0.00058175
56,235.007,1.34762,1.72865,0.74297,0.92355,0.89925,0.75495,0.84909,0.4509,0.67019,0.55152,0.54167,0.19488,1.44016,1.87206,0.73696,0.93239,0.000569375,0.000569375,0.000569375
57,239.197,1.29932,1.66494,0.72597,0.91855,0.84465,0.80527,0.85825,0.45471,0.63575,0.60348,0.55982,0.20261,1.43377,1.84098,0.7266,0.92619,0.000557,0.000557,0.000557
58,243.435,1.30522,1.69235,0.72411,0.92237,0.82192,0.81187,0.86525,0.44963,0.61515,0.55869,0.54927,0.19953,1.44051,1.87447,0.74384,0.93098,0.000544625,0.000544625,0.000544625
59,247.561,1.33195,1.72531,0.74071,0.92031,0.81756,0.80976,0.86876,0.44429,0.61222,0.63388,0.57232,0.20351,1.44871,1.83478,0.73701,0.92338,0.00053225,0.00053225,0.00053225
60,251.69,1.31111,1.66827,0.72624,0.92418,0.86537,0.77538,0.86726,0.45167,0.65508,0.57312,0.57224,0.20191,1.42296,1.84996,0.73011,0.9249,0.000519875,0.000519875,0.000519875
61,255.912,1.33216,1.68925,0.72867,0.92188,0.84468,0.80001,0.86433,0.45504,0.65738,0.62048,0.57868,0.21421,1.42637,1.82511,0.72386,0.92193,0.0005075,0.0005075,0.0005075
62,260.031,1.29098,1.65887,0.71752,0.91665,0.83728,0.80047,0.86383,0.4552,0.63736,0.59042,0.55724,0.2058,1.4241,1.88041,0.72568,0.92445,0.000495125,0.000495125,0.000495125
63,264.195,1.30502,1.67899,0.72115,0.9181,0.85442,0.78758,0.88489,0.455,0.71913,0.55378,0.57844,0.20858,1.42607,1.85608,0.72189,0.92373,0.00048275,0.00048275,0.00048275
64,268.438,1.30622,1.65178,0.70644,0.91406,0.88077,0.78447,0.87668,0.45155,0.71109,0.6218,0.61872,0.23811,1.46813,1.8671,0.72201,0.92723,0.000470375,0.000470375,0.000470375
65,272.614,1.31349,1.68287,0.71336,0.92309,0.83815,0.84721,0.89265,0.45987,0.6721,0.6616,0.63179,0.23662,1.44785,1.79109,0.71465,0.92363,0.000458,0.000458,0.000458
66,276.769,1.2976,1.67907,0.70793,0.91398,0.86745,0.8054,0.89024,0.46917,0.68259,0.60463,0.60198,0.23406,1.42204,1.82281,0.71505,0.92015,0.000445625,0.000445625,0.000445625
67,280.961,1.26337,1.63929,0.6978,0.90934,0.87376,0.79139,0.88588,0.48186,0.6571,0.57949,0.56875,0.21622,1.39479,1.83352,0.70794,0.91931,0.00043325,0.00043325,0.00043325
68,285.153,1.25046,1.62039,0.69254,0.90405,0.87259,0.78947,0.87602,0.47115,0.61505,0.63128,0.56896,0.20536,1.40331,1.83977,0.71282,0.92125,0.000420875,0.000420875,0.000420875
69,289.243,1.2502,1.64719,0.69924,0.912,0.8755,0.78417,0.86915,0.48158,0.65655,0.58481,0.55376,0.20679,1.38627,1.81737,0.71261,0.91526,0.0004085,0.0004085,0.0004085
70,293.466,1.24953,1.63099,0.6892,0.90308,0.8483,0.81075,0.88571,0.47646,0.62815,0.60016,0.55759,0.20761,1.39903,1.81418,0.70883,0.91772,0.000396125,0.000396125,0.000396125
71,297.706,1.26995,1.64555,0.69378,0.91056,0.90064,0.79758,0.89014,0.47882,0.69012,0.60787,0.59937,0.22168,1.39418,1.81994,0.70739,0.91986,0.00038375,0.00038375,0.00038375
72,301.946,1.2494,1.60911,0.68719,0.90187,0.85864,0.82513,0.88673,0.48183,0.64825,0.62009,0.59296,0.21556,1.40216,1.8252,0.7073,0.9163,0.000371375,0.000371375,0.000371375
73,306.153,1.24636,1.63619,0.68352,0.90124,0.84735,0.82537,0.88228,0.47957,0.63043,0.61602,0.57086,0.20787,1.39558,1.84991,0.70577,0.91722,0.000359,0.000359,0.000359
74,310.301,1.23978,1.61156,0.68531,0.90481,0.87769,0.8253,0.89171,0.48973,0.6547,0.64735,0.61516,0.23161,1.38076,1.79186,0.69733,0.91447,0.000346625,0.000346625,0.000346625
75,314.514,1.24705,1.60484,0.68422,0.90605,0.86373,0.81086,0.88405,0.4833,0.63899,0.62133,0.5864,0.21985,1.38936,1.76262,0.69873,0.91456,0.00033425,0.00033425,0.00033425
76,318.69,1.22534,1.59381,0.67723,0.90901,0.91452,0.78555,0.88407,0.48068,0.68418,0.58523,0.57322,0.21679,1.38954,1.78972,0.70195,0.91633,0.000321875,0.000321875,0.000321875
77,322.753,1.21294,1.58735,0.67588,0.90375,0.83981,0.83366,0.88172,0.46411,0.63594,0.63941,0.58317,0.21815,1.43515,1.82885,0.71923,0.9238,0.0003095,0.0003095,0.0003095
78,326.952,1.23522,1.57293,0.68166,0.9003,0.86169,0.78968,0.87473,0.46465,0.70948,0.58885,0.60039,0.22303,1.41888,1.82379,0.7095,0.92008,0.000297125,0.000297125,0.000297125
79,331.224,1.24679,1.60874,0.68714,0.90904,0.8343,0.8289,0.8741,0.47429,0.6585,0.63532,0.6084,0.22453,1.4099,1.80276,0.69963,0.92054,0.00028475,0.00028475,0.00028475
80,335.476,1.22667,1.61266,0.67483,0.9049,0.82889,0.82431,0.86991,0.4763,0.66107,0.59355,0.58546,0.20925,1.38424,1.82274,0.70049,0.91533,0.000272375,0.000272375,0.000272375
81,339.604,1.20426,1.5815,0.6686,0.89586,0.88439,0.77622,0.87288,0.48237,0.69644,0.58834,0.59085,0.21496,1.39105,1.80689,0.69819,0.91458,0.00026,0.00026,0.00026
82,343.845,1.21507,1.5551,0.66739,0.90005,0.89673,0.79036,0.89149,0.47527,0.68593,0.5958,0.6053,0.23149,1.39525,1.80584,0.69166,0.91361,0.000247625,0.000247625,0.000247625
83,347.954,1.19993,1.55988,0.66462,0.90348,0.88102,0.80249,0.8817,0.4801,0.67183,0.60677,0.60383,0.22215,1.38567,1.78781,0.68889,0.91356,0.00023525,0.00023525,0.00023525
84,352.127,1.22007,1.5852,0.66959,0.89894,0.86949,0.82264,0.89535,0.47877,0.6446,0.60723,0.59082,0.21337,1.39652,1.81965,0.69638,0.9166,0.000222875,0.000222875,0.000222875
85,356.278,1.19173,1.55312,0.66118,0.89991,0.86866,0.7813,0.87244,0.47708,0.67797,0.58512,0.58853,0.2123,1.38845,1.78213,0.68847,0.91705,0.0002105,0.0002105,0.0002105
86,360.551,1.1833,1.54965,0.65984,0.89638,0.89147,0.79879,0.88757,0.48012,0.68253,0.60595,0.59272,0.226,1.39629,1.79709,0.6907,0.91628,0.000198125,0.000198125,0.000198125
87,364.722,1.19299,1.56481,0.65505,0.89242,0.91824,0.7751,0.8955,0.4856,0.70036,0.58485,0.58597,0.22191,1.38196,1.76916,0.68836,0.91524,0.00018575,0.00018575,0.00018575
88,368.898,1.1849,1.5652,0.65232,0.89612,0.86951,0.80578,0.87738,0.48751,0.69389,0.58599,0.59553,0.219,1.39112,1.78654,0.68568,0.91511,0.000173375,0.000173375,0.000173375
89,373.118,1.18078,1.5376,0.65244,0.89371,0.84394,0.82824,0.89074,0.48749,0.65587,0.59883,0.58482,0.21843,1.3772,1.77165,0.68608,0.91374,0.000161,0.000161,0.000161
90,377.309,1.20266,1.5837,0.66414,0.89512,0.8332,0.8302,0.89444,0.47934,0.69502,0.54934,0.57434,0.20968,1.38492,1.78174,0.6826,0.91519,0.000148625,0.000148625,0.000148625
91,400.91,1.13765,1.52581,0.64428,0.89479,0.91687,0.78273,0.8891,0.48383,0.67956,0.54509,0.55721,0.20493,1.38456,1.76518,0.68642,0.91417,0.00013625,0.00013625,0.00013625
92,405.117,1.11878,1.50108,0.63765,0.89377,0.89825,0.78569,0.88983,0.47923,0.67413,0.57296,0.5738,0.21251,1.36847,1.76155,0.68603,0.91246,0.000123875,0.000123875,0.000123875
93,409.188,1.11856,1.48134,0.63085,0.88868,0.90055,0.78745,0.88793,0.48211,0.69821,0.60142,0.60199,0.22033,1.37313,1.76378,0.68388,0.91193,0.0001115,0.0001115,0.0001115
94,413.259,1.10917,1.50179,0.63006,0.89251,0.86341,0.81524,0.89487,0.48505,0.67408,0.58005,0.58366,0.21869,1.36802,1.75405,0.68374,0.91057,9.9125e-05,9.9125e-05,9.9125e-05
95,417.218,1.1056,1.48556,0.62618,0.88792,0.84929,0.81258,0.88288,0.49118,0.6963,0.58056,0.59293,0.2212,1.35876,1.77379,0.68107,0.90935,8.675e-05,8.675e-05,8.675e-05
96,421.204,1.08029,1.45413,0.61187,0.88866,0.89598,0.78752,0.90012,0.4865,0.66931,0.5793,0.58145,0.21704,1.36799,1.82063,0.68109,0.90972,7.4375e-05,7.4375e-05,7.4375e-05
