epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.95284,2.48475,3.35641,3.8418,1.35009,0.00499,0.07843,0.01085,0.00206,0.00272,0.03954,0.00276,0.00051,2.15244,2.85967,4.0766,1.09928,0.0003625,0.0003625,0.0003625
2,10.1981,2.10725,2.57686,2.14161,1.12631,0.03344,0.24884,0.11071,0.04582,0.02788,0.23211,0.09441,0.02924,2.15345,2.98947,3.67663,1.08001,0.000730199,0.000730199,0.000730199
3,14.3623,2.04805,2.47429,1.58213,1.11066,0.73053,0.10146,0.2129,0.07557,0.69282,0.14517,0.245,0.08254,2.31579,2.66146,3.04489,1.09913,0.00109047,0.00109047,0.00109047
4,18.635,1.99077,2.4163,1.41365,1.07688,0.60028,0.29703,0.44444,0.17074,0.48966,0.30751,0.28723,0.09305,2.02851,2.7376,2.17273,1.03919,0.00121287,0.00121287,0.00121287
5,22.7453,1.92826,2.37488,1.34355,1.06104,0.54619,0.56908,0.53589,0.20702,0.43911,0.44714,0.36501,0.12535,2.01745,2.5997,1.47489,1.0385,0.0012005,0.0012005,0.0012005
6,26.8935,1.86178,2.28558,1.26345,1.0531,0.62221,0.62841,0.61326,0.25262,0.49696,0.50371,0.43305,0.1498,1.93288,2.3187,1.26527,1.04537,0.00118812,0.00118812,0.00118812
7,30.9836,1.86201,2.24258,1.24365,1.05126,0.67041,0.4997,0.57253,0.22213,0.33842,0.4109,0.30766,0.09085,1.96561,2.46946,1.15026,1.04566,0.00117575,0.00117575,0.00117575
8,35.0874,1.74156,2.15095,1.14175,1.02871,0.62994,0.67219,0.66333,0.28468,0.43674,0.47757,0.39783,0.1353,1.77587,2.23835,1.01291,1.00133,0.00116337,0.00116337,0.00116337
9,39.271,1.75455,2.15954,1.1228,1.02246,0.66575,0.63115,0.67995,0.30969,0.55624,0.43869,0.4444,0.15302,1.70706,2.19057,0.96492,0.99765,0.001151,0.001151,0.001151
10,43.4144,1.75109,2.12705,1.10885,1.02029,0.63144,0.61411,0.63972,0.25612,0.42984,0.34166,0.303,0.08992,1.90437,2.42506,1.06114,1.01883,0.00113863,0.00113863,0.00113863
11,47.5464,1.68399,2.08034,1.05702,1.00536,0.66385,0.68342,0.71745,0.31266,0.52032,0.45236,0.40981,0.13599,1.75182,2.53371,0.96635,0.98884,0.00112625,0.00112625,0.00112625
12,51.6889,1.67027,2.10993,1.04481,1.00502,0.75332,0.65927,0.73866,0.32863,0.54198,0.4814,0.45777,0.14912,1.68304,2.29539,0.94935,0.98679,0.00111388,0.00111388,0.00111388
13,55.7983,1.68655,2.11733,1.04843,1.01389,0.68063,0.68306,0.69733,0.31752,0.45152,0.44045,0.35609,0.11749,1.70606,2.3022,0.96104,0.98768,0.0011015,0.0011015,0.0011015
14,60.0415,1.66227,2.10882,1.00702,0.98572,0.7472,0.70341,0.7729,0.3468,0.49302,0.46671,0.41875,0.13813,1.6929,2.11883,0.94709,0.98588,0.00108913,0.00108913,0.00108913
15,64.186,1.6138,2.01797,1.00171,0.98987,0.76597,0.69366,0.77057,0.3539,0.50273,0.56241,0.48186,0.16852,1.65057,2.11393,0.93058,0.97817,0.00107675,0.00107675,0.00107675
16,68.4365,1.61948,2.01145,0.9861,0.98952,0.67042,0.6661,0.70135,0.32893,0.44555,0.45317,0.39719,0.1336,1.62455,2.07913,0.91418,0.97322,0.00106437,0.00106437,0.00106437
17,72.5841,1.58416,2.01649,0.96065,0.98268,0.67908,0.71923,0.74939,0.33329,0.47824,0.4506,0.39019,0.12692,1.66831,2.36072,0.90737,0.97632,0.001052,0.001052,0.001052
18,76.6849,1.58473,1.98653,0.95381,0.97743,0.74425,0.69397,0.74582,0.32667,0.55088,0.47313,0.42868,0.13885,1.72484,2.28194,0.91288,0.98103,0.00103962,0.00103962,0.00103962
19,80.8379,1.57769,2.00523,0.94419,0.98666,0.72728,0.73085,0.7601,0.35135,0.51166,0.50918,0.46273,0.15804,1.62614,2.10986,0.87344,0.97422,0.00102725,0.00102725,0.00102725
20,85.0406,1.56403,1.9927,0.92365,0.98045,0.76366,0.72337,0.77183,0.36104,0.54485,0.4779,0.43808,0.14552,1.62817,2.14178,0.88561,0.97193,0.00101488,0.00101488,0.00101488
21,89.1515,1.57751,1.98809,0.92176,0.97313,0.77783,0.70289,0.78687,0.33821,0.53365,0.50925,0.44144,0.14529,1.70626,2.34209,0.89878,0.96026,0.0010025,0.0010025,0.0010025
22,93.3169,1.52316,1.88187,0.89674,0.96338,0.75582,0.72744,0.76576,0.36408,0.55454,0.58141,0.5075,0.17364,1.59598,2.04773,0.84681,0.96288,0.000990125,0.000990125,0.000990125
23,97.5097,1.52883,1.91801,0.89093,0.96369,0.81692,0.69259,0.80266,0.38068,0.6321,0.51854,0.50534,0.17388,1.59075,2.00867,0.83816,0.9602,0.00097775,0.00097775,0.00097775
24,101.721,1.50955,1.92183,0.87629,0.96551,0.75067,0.71806,0.77996,0.37409,0.57809,0.52974,0.50734,0.17513,1.5706,2.04205,0.83343,0.96084,0.000965375,0.000965375,0.000965375
25,105.949,1.53397,1.93435,0.89119,0.9624,0.80651,0.73294,0.8074,0.38054,0.60902,0.54475,0.52724,0.18104,1.55484,1.9749,0.82401,0.95327,0.000953,0.000953,0.000953
26,110.458,1.49474,1.91661,0.8687,0.95969,0.71681,0.75431,0.7853,0.37503,0.52164,0.47527,0.44594,0.14671,1.5928,2.20224,0.85209,0.96257,0.000940625,0.000940625,0.000940625
27,115.034,1.50652,1.93155,0.87459,0.96134,0.77228,0.73609,0.80455,0.39662,0.57222,0.47255,0.47066,0.15822,1.54974,2.11525,0.82345,0.9478,0.00092825,0.00092825,0.00092825
